kode_kbli,nama_kbli
22210,Industri Barang dari Plastik Untuk Bangunan
22220,Industri Barang Dari Plastik Untuk Pengemasan
22230,Industri Pipa Plastik Dan Perlengkapannya
22291,Industri Barang Plastik Lembaran
22292,Industri Perlengkapan Dan Peralatan Rumah Tangga (tidak Termasuk Furnitur)
22293,Industri Barang Dan Peralatan Teknik/Industri Dari Plastik
22299,Industri Barang Plastik Lainnya Ytdl
23111,Industri Kaca Lembaran
23112,Industri Kaca Pengaman
23119,Industri Kaca Lainnya
23121,Industri Perlengkapan Dan Peralatan Rumah Tangga Dari Kaca
23122,"Industri Alat-alat Laboratorium Non Klinis, Farmasi Dan Kesehatan Dari Kaca"
23123,Industri Kemasan Dari Kaca
23124,Industri Alat Laboratorium Klinis dari Kaca
23129,Industri Barang Lainnya Dari Kaca
23911,"Industri Bata, Mortar, Semen, dan Sejenisnya yang Tahan Api"
23919,Industri Barang Tahan Api Dari Tanah Liat/Keramik Lainnya
23921,Industri Batu Bata Dari Tanah Liat/Keramik
23922,Industri Genteng Dari Tanah Liat/Keramik
23923,Industri Peralatan Saniter Dari Porselen
23929,Industri Bahan Bangunan Dari Tanah Liat/Keramik Bukan Batu Bata Dan Genteng
23931,Industri Perlengkapan Rumah Tangga Dari Porselen
23932,Industri Perlengkapan Rumah Tangga Dari Tanah Liat/Keramik
23933,Industri Alat Laboratorium Dan Alat Listrik/Teknik Dari Porselen
23939,Industri Barang Tanah Liat/Keramik dan Porselen Lainnya Bukan Bahan Bangunan
23941,Industri Semen
23942,Industri Kapur
23943,Industri Gips
23951,Industri Barang Dari Semen
23952,Industri Barang Dari Kapur
23953,Industri Barang Dari Semen Dan Kapur Untuk Konstruksi
23954,Industri Barang dari Gips Untuk Konstruksi
23955,Industri Barang Dari Asbes Untuk Keperluan Bahan Bangunan
23956,Industri Barang Dari Asbes Untuk Keperluan Industri
23957,Industri Mortar atau Beton Siap Pakai
23959,"Industri Barang Dari Semen, Kapur, Gips dan Asbes Lainnya"
23961,Industri Barang Dari Marmer Dan Granit Untuk Keperluan Rumah Tangga Dan Pajangan
23962,Industri Barang Dari Marmer Dan Granit Untuk Keperluan Bahan Bangunan
23963,"Industri Barang Dari Batu Untuk Keperluan Rumah Tangga, Pajangan, dan Bahan Bangunan"
23969,"Industri Barang Dari Marmer, Granit Dan Batu Lainnya"
23990,Industri Barang Galian Bukan Logam Lainnya Ytdl
24101,Industri Besi Dan Baja Dasar (Iron And Steel Making)
24102,Industri Penggilingan Baja (Steel Rolling)
24103,Industri Pipa Dan Sambungan Pipa Dari Baja Dan Besi
24201,Industri Pembuatan Logam Dasar Mulia
24202,Industri Pembuatan Logam Dasar Bukan Besi
24203,Industri Penggilingan Logam Bukan Besi
24204,Industri Ekstrusi Logam Bukan Besi
24205,Industri Pipa Dan Sambungan Pipa Dari Logam Bukan Besi Dan Baja
24206,Industri Pengolahan Uranium dan Bijih Uranium
24310,Industri Pengecoran Besi Dan Baja
24320,Industri Pengecoran Logam Bukan Besi Dan Baja
25111,Industri Barang Dari Logam Bukan Aluminium Siap Pasang Untuk Bangunan
25112,Industri Barang Dari Logam Aluminium Siap Pasang Untuk Bangunan
25113,Industri Konstruksi Berat Siap Pasang Dari Baja Untuk Bangunan
25119,Industri Barang Dari Logam Siap Pasang Untuk Konstruksi Lainnya
25120,"Industri Tangki, Tandon Air Dan Wadah Dari Logam"
25130,"Industri Generator Uap, Bukan Ketel Pemanas"
25200,Industri Senjata Dan Amunisi
25910,"Industri Penempaan, Pengepresan, Pencetakan Dan Pembentukan Logam; Metalurgi Bubuk"
25920,Jasa Industri Untuk Berbagai Pengerjaan Khusus Logam Dan Barang Dari Logam
25931,Industri Alat Potong dan Perkakas Tangan Untuk Pertanian
25932,Industri Alat Potong dan Perkakas Tangan Pertukangan
25933,Industri Alat Potong Dan Perkakas Tangan Yang Digunakan Dalam Rumah Tangga
25934,Industri Peralatan Umum
25940,"Industri Ember, Kaleng, Drum Dan Wadah Sejenis Dari Logam"
25951,Industri Barang Dari Kawat
25952,"Industri Paku, Mur Dan Baut"
25991,"Industri Brankas, Filling Kantor dan Sejenisnya"
25992,Industri Peralatan Dapur Dan Peralatan Meja Dari Logam
25993,Industri Keperluan Rumah Tangga Dari Logam Bukan Peralatan Dapur dan Peralatan Meja
25994,Industri Pembuatan Profil
25995,Industri Lampu Dari Logam
25999,Industri Barang Logam Lainnya YTDL
26110,Industri Tabung Elektron Dan Konektor Elektronik
26120,Industri Semi Konduktor Dan Komponen Elektronik Lainnya
26210,Industri Komputer Dan/Atau Perakitan Komputer
26220,Industri Perlengkapan Komputer
26310,Industri Peralatan Telepon Dan Faksimili
26320,Industri Peralatan Komunikasi Tanpa kabel (Wireless)
26391,Industri Kartu Cerdas (Smart Card)
26399,Industri Peralatan Komunikasi Lainnya
26410,Industri Televisi Dan/Atau Perakitan Televisi
26420,"Industri Peralatan Perekam, Penerima dan Pengganda Audio Dan Video, Bukan Industri Televisi"
26490,Industri Peralatan Audio dan Video Elektronik Lainnya
26511,Industri Alat Ukur Dan Alat Uji Manual
26512,Industri Alat Ukur Dan Alat Uji Elektrik
26513,Industri Alat Ukur Dan Alat Uji Elektronik
26514,Industri Alat Uji Dalam Proses Industri
26520,Industri Alat Ukur Waktu
26601,"Industri Peralatan Iradiasi/Sinar X, Perlengkapan Dan Sejenisnya"
26602,Industri Peralatan Elektromedikal dan Elektroterapi
26710,Industri Peralatan Fotografi
26791,Industri Kamera Cinematografi Proyektor Dan Perlengkapannya
26792,Industri Teropong Dan Instrumen Optik Bukan Kaca Mata
26800,Industri Media Magnetik dan Media Optik
27111,Industri Motor Listrik
27112,Industri Mesin Pembangkit Listrik
27113,"Industri Pengubah Tegangan (Transformator), Pengubah Arus (Rectifier) Dan Pengontrol Tegangan (Voltage Stabilizer)"
27120,Industri Peralatan Pengontrol dan Pendistribusian Listrik
27201,Industri Batu Baterai
27202,Industri Akumulator Listrik
27203,Industri Baterai Untuk Kendaraan Bermotor Listrik
27310,Industri Kabel Serat Optik
27320,Industri Kabel Listrik Dan Elektronik Lainnya
27330,Industri Perlengkapan Kabel
27401,"Industri Bola Lampu Pijar, Lampu Penerangan Terpusat Dan Lampu Ultra Violet"
27402,Industri Lampu Tabung Gas (Lampu Pembuang Listrik)
27403,Industri Peralatan Penerangan Untuk Alat Transportasi
27404,Industri Lampu LED
27409,Industri Peralatan Penerangan Lainnya
27510,Industri Peralatan Listrik Rumah Tangga
27520,Industri Peralatan Elektrotermal Rumah Tangga
27530,Industri Peralatan Pemanas Dan Masak Bukan Listrik Rumah Tangga
27900,Industri Peralatan Listrik Lainnya
28111,"Industri Mesin Uap, Turbin Dan Kincir"
28112,Industri Motor Pembakaran Dalam
28113,Industri Komponen Dan Suku Cadang Mesin Dan Turbin
28120,Industri Peralatan Tenaga Zat Cair dan Gas
28130,"Industri Pompa Lainnya, Kompresor, Kran dan Klep/Katup"
28140,"Industri Bearing, Roda Gigi dan Elemen Penggerak Mesin"
28151,"Industri Oven, Perapian dan Tungku Pembakar Sejenis Yang Tidak Menggunakan Arus Listrik"
28152,"Industri Oven, Perapian dan Tungku Pembakar Sejenis Yang Menggunakan Arus Listrik"
28160,Industri Alat Pengangkat Dan Pemindah
28171,Industri Mesin Kantor Dan Akuntansi Manual
28172,Industri Mesin Kantor Dan Akuntansi Elektrik
28173,Industri Mesin Kantor Dan Akuntansi Elektronik
28174,Industri Mesin Fotocopi
28179,Industri Mesin dan Peralatan Kantor Lainnya
28180,Industri Perkakas Tangan Yang Digerakkan Tenaga
28191,"Industri Mesin Untuk Pembungkus, Pembotolan Dan Pengalengan"
28192,Industri Mesin Timbangan
28193,Industri Mesin Pendingin
28199,Industri Mesin Untuk Keperluan Umum Lainnya Ytdl
28210,Industri Mesin Pertanian Dan Kehutanan
28221,Industri Mesin dan Perkakas Mesin Untuk Pengerjaan Logam
28222,Industri Mesin dan Perkakas Mesin Untuk Pengerjaan Kayu
28223,Industri Mesin dan Perkakas Mesin Untuk Pengerjaan Bahan Bukan Logam Dan Kayu
28224,Industri Mesin dan Perkakas Mesin Untuk Pengelasan Yang Menggunakan Arus Listrik
28230,Industri Mesin Metalurgi
28240,"Industri Mesin Penambangan, Penggalian Dan Konstruksi"
28250,"Industri Mesin Pengolahan Makanan, Minuman Dan Tembakau"
28261,Industri Kabinet Mesin Jahit
28262,Industri Mesin Jahit Serta Mesin Cuci Dan Mesin Pengering Untuk Keperluan Niaga
28263,Industri Mesin Tekstil
28264,"Industri Jarum Mesin Jahit, Rajut, Bordir Dan Sejenisnya"
28265,Industri Mesin Penyiapan Dan Pembuatan Produk Kulit
28291,Industri Mesin Percetakan
28292,Industri Mesin Pabrik Kertas
28299,Industri Mesin Keperluan Khusus Lainnya
29101,Industri Kendaraan Bermotor Roda Empat Atau Lebih
29102,Industri Kendaraan Multiguna Pedesaan
29200,Industri Karoseri Kendaraan Bermotor Roda Empat Atau Lebih dan Industri Trailer dan Semi Trailer
29300,Industri Suku Cadang dan Aksesori Kendaraan Bermotor Roda Empat Atau Lebih
30111,Industri Kapal Dan Perahu
30112,Industri Bangunan Lepas Pantai Dan Bangunan Terapung
30113,"Industri Peralatan, Perlengkapan Dan Bagian Kapal"
30120,Industri Pembuatan Kapal dan Perahu Untuk Tujuan Wisata atau Rekreasi dan Olahraga
30200,Industri Lokomotif dan Gerbong Kereta
30300,Industri Pesawat Terbang Dan Perlengkapannya
30400,Industri Kendaraan Perang
30911,Industri Sepeda Motor Roda Dua Dan Tiga
30912,Industri Komponen Dan Perlengkapan Sepeda Motor Roda Dua Dan Tiga
30921,Industri Sepeda Dan Kursi Roda Termasuk Becak
30922,Industri Perlengkapan Sepeda Dan Kursi Roda Termasuk Becak
30990,Industri Alat Angkutan Lainnya YTDL
31001,Industri Furnitur Dari Kayu
31002,Industri Furnitur Dari Rotan Dan Atau Bambu
31003,Industri Furnitur Dari Plastik
31004,Industri Furnitur Dari Logam
31009,Industri Furnitur Lainnya
32111,Industri Permata
32112,Industri Barang Perhiasan Dari Logam Mulia Untuk Keperluan Pribadi
32113,Industri Barang Perhiasan Dari Logam Mulia Bukan Untuk Keperluan Pribadi
32114,Industri Barang Dari Logam Mulia Untuk Keperluan Teknik Dan Atau Laboratorium
32115,Industri Perhiasan Mutiara
32119,Industri Barang Lainnya Dari Logam Mulia
32120,Industri Perhiasan Imitasi dan Barang Sejenis
32201,Industri Alat Musik Tradisional
32202,Industri Alat Musik Bukan Tradisional
32300,Industri Alat Olahraga
32401,Industri Alat Permainan
32402,Industri Mainan Anak-anak
32501,"Industri Furnitur Untuk Operasi, Perawatan Kedokteran Dan Kedokteran Gigi"
32502,"Industri Peralatan Kedokteran Dan Kedokteran Gigi, Perlengkapan Orthopaedic Dan Prosthetic"
32503,Industri Kaca Mata
32509,Industri Peralatan Kedokteran Dan Kedokteran Gigi Serta Perlengkapan Lainnya
32901,Industri Alat Tulis Dan Gambar Termasuk Perlengkapannya
32902,Industri Pita Mesin Tulis/Gambar
32903,Industri Kerajinan YTDL
32904,Industri Peralatan Untuk Pelindung Keselamatan
32905,Industri Serat Sabut Kelapa
32906,Industri Produksi Radioisotop
32907,Industri Fabrikasi Elemen Bakar Uranium
32909,Industri Pengolahan Lainnya YTDL
33111,"Reparasi Produk Logam Siap Pasang Untuk Bangunan, Tangki, Tandon Air Dan Generator Uap"
33112,Reparasi Produk Senjata Dan Amunisi
33119,Reparasi Produk Logam Pabrikasi Lainnya
33121,Reparasi Mesin Untuk Keperluan Umum
33122,Reparasi Mesin Untuk Keperluan Khusus
33131,"Reparasi Alat Ukur, Alat Uji dan Peralatan Navigasi Dan Pengontrol"
33132,"Reparasi Peralatan Iradiasi, Elektromedis Dan Elektroterapi"
33133,Reparasi Peralatan Fotografi Dan Optik
33141,"Reparasi Motor Listrik, Generator Dan Transformator"
33142,Reparasi Baterai Dan Akumulator Listrik
33149,Reparasi Peralatan Listrik Lainnya
33151,"Reparasi Kapal, Perahu Dan Bangunan Terapung"
33152,Reparasi Lokomotif Dan Gerbong Kereta
33153,Reparasi Pesawat Terbang
33159,"Reparasi Alat Angkutan Lainnya, Bukan Kendaraan Bermotor"
33190,Reparasi Peralatan Lainnya
33200,Instalasi/Pemasangan Mesin dan Peralatan Industri
35111,Instalasi/Pemasangan Mesin dan Peralatan Industri Listrik
35112,Transmisi Tenaga Listrik
35113,Distribusi Tenaga Listrik
35114,Penjualan Tenaga Listrik
35115,"Pembangkit, Transmisi, Distribusi dan Penjualan Tenaga Listrik Dalam Satu Kesatuan Usaha"
35116,"Pembangkit, Transmisi, dan Penjualan Tenaga Listrik Dalam Satu Kesatuan Usaha"
35117,"Pembangkit, Distribusi, dan Penjualan Tenaga Listrik Dalam Satu Kesatuan Usaha"
35118,"Distribusi, dan Penjualan Tenaga Listrik Dalam Satu Kesatuan Usaha"
35121,Pengoperasian Instalasi Penyediaan Tenaga Listrik
35122,Pengoperasian Instalasi Pemanfaatan Tenaga Listrik
35129,Aktivitas penunjang tenaga listrik lainnya
35201,Pengadaan Gas Alam Dan Buatan
35202,Distribusi Gas Alam Dan Buatan
35203,Pengadaan Gas Bio
35301,Pengadaan Uap/Air Panas Dan Udara Dingin
35302,Produksi Es
36001,"Penampungan, Penjernihan dan Penyaluran Air Minum"
36002,Penampungan dan Penyaluran Air Baku
36003,Aktivitas Penunjang Treatment Air
37011,Pengumpulan Air Limbah Tidak Berbahaya
37012,Pengumpulan Air Limbah Berbahaya
37021,Treatment dan Pembuangan Air Limbah Tidak Berbahaya
37022,Treatment dan Pembuangan Air Limbah Berbahaya
38110,Pengumpulan limbah dan sampah tidak berbahaya
38120,Pengumpulan Limbah Berbahaya
38211,Treatment dan Pembuangan Limbah dan Sampah Tidak Berbahaya
38212,Produksi Kompos Sampah Organik
38220,Treatment dan Pembuangan Limbah Berbahaya
38301,Pemulihan Material Barang Logam
38302,Pemulihan Material Barang Bukan Logam
39000,Aktivitas Remediasi dan Pengelolaan Limbah dan Sampah Lainnya
41011,Konstruksi Gedung Hunian
41012,Konstruksi Gedung Perkantoran
41013,Konstruksi Gedung Industri
41014,Konstruksi Gedung Perbelanjaan
41015,Konstruksi Gedung Kesehatan
41016,Konstruksi Gedung Pendidikan
41017,Konstruksi Gedung Penginapan
41018,Konstruksi Gedung Tempat Hiburan dan Olahraga
41019,Konstruksi Gedung Lainnya
41020,Jasa Pekerjaan Konstruksi Prapabrikasi Bangunan Gedung
42101,Konstruksi Bangunan Sipil Jalan
42102,"Konstruksi Bangunan Sipil Jembatan, Jalan Layang, Fly Over, dan Underpass"
42103,Konstruksi Jalan Rel
42104,Konstruksi Terowongan
42201,Konstruksi Jaringan Irigasi dan Drainase
42202,Konstruksi Bangunan Sipil Pengolahan Air Bersih
42203,"Konstruksi Bangunan Sipil Prasarana dan Sarana Sistem Pengolahan Limbah Padat, Cair, dan Gas"
42204,Konstruksi Bangunan Sipil Elektrikal
42205,Konstruksi Bangunan Sipil Telekomunikasi untuk Prasarana Transportasi
42206,Konstruksi Sentral Telekomunikasi
42207,Pembuatan/Pengeboran Sumur Air Tanah
42209,"Konstruksi Jaringan Irigasi, Komunikasi, dan Limbah Lainnya"
42911,Konstruksi Bangunan Prasarana Sumber Daya Air
42912,Konstruksi Bangunan Pelabuhan Bukan Perikanan
42913,Konstruksi Bangunan Pelabuhan Perikanan
42914,Pengerukan
42915,Konstruksi Bangunan Sipil Minyak dan Gas Bumi
42916,Konstruksi Bangunan Sipil Pertambangan
42917,Konstruksi Bangunan Sipil Panas Bumi
42918,Konstruksi Bangunan Sipil Fasilitas Olah Raga
42919,Konstruksi Bangunan Sipil Lainnya Ytdl
42921,Konstruksi Reservoir Pembangkit Listrik Tenaga Air
42922,Jasa Pekerjaan Konstruksi Pelindung Pantai
42923,"Konstruksi Bangunan Sipil Fasilitas Pengolahan Produk Kimia, Petrokimia, Farmasi, dan Industri Lainnya"
42924,Konstruksi Bangunan Sipil Fasilitas Militer dan Peluncuran Satelit
42929,Konstruksi Khusus Bangunan Sipil Lainnya Ytdl
42930,Jasa Pekerjaan Konstruksi Prapabrikasi Bangunan Sipil
43110,Pembongkaran
43120,Penyiapan Lahan
43211,Instalasi Listrik
43212,Instalasi Telekomunikasi
43213,Instalasi Elektronika
43214,"Jasa Instalasi Konstruksi Navigasi Laut, Sungai, dan Udara"
43215,Instalasi Sinyal Dan Telekomunikasi Kereta Api
43216,Instalasi Sinyal Dan Rambu-rambu Jalan Raya
43221,Instalasi Saluran Air (Plambing)
43222,Instalasi Pemanas Dan Geotermal
43223,Instalasi Minyak Dan Gas
43224,Instalasi Pendingin Dan Ventilasi Udara
43291,Instalasi Mekanikal
43292,"Instalasi Meteorologi, Klimatologi Dan Geofisika"
43293,Instalasi Fasilitas Sumber Radiasi Pengion
43294,Instalasi Nuklir
43299,Instalasi Konstruksi Lainnya Ytdl
43301,Pengerjaan Pemasangan Kaca Dan Alumunium
43302,"Pengerjaan Lantai, Dinding, Peralatan Saniter Dan Plafon"
43303,Pengecatan
43304,Dekorasi Interior
43305,Dekorasi Eksterior
43309,Penyelesaian Konstruksi Bangunan Lainnya
43901,Pemasangan Pondasi Dan Tiang Pancang
43902,Pemasangan Perancah (Steiger)
43903,Pemasangan Rangka dan Atap/Roof Covering
43904,Pemasangan Kerangka Baja
43905,Penyewaan Alat Konstruksi Dengan Operator
43909,Konstruksi Khusus Lainnya Ytdl
45101,Perdagangan Besar Mobil Baru
45102,Perdagangan Besar Mobil Bekas
45103,Perdagangan Eceran Mobil Baru
45104,Perdagangan Eceran Mobil Bekas
45201,Reparasi Mobil
45202,Pencucian Dan Salon Mobil
45301,Perdagangan Besar Suku Cadang Dan Aksesori Mobil
45302,Perdagangan Eceran Suku Cadang Dan Aksesori Mobil
45401,Perdagangan Besar Sepeda Motor Baru
45402,Perdagangan Besar Sepeda Motor Bekas
45403,Perdagangan Eceran Sepeda Motor Baru
45404,Perdagangan Eceran Sepeda Motor Bekas
45405,Perdagangan Besar Suku Cadang Sepeda Motor Dan Aksesorinya
45406,Perdagangan Eceran Suku Cadang Sepeda Motor Dan Aksesorinya
45407,Reparasi Dan Perawatan Sepeda Motor
46100,Perdagangan Besar Atas Dasar Balas Jasa (Fee) Atau Kontrak
46201,Perdagangan Besar Padi Dan Palawija
46202,Perdagangan Besar Buah Yang Mengandung Minyak
46203,Perdagangan Besar Bunga Dan Tanaman Hias
46204,Perdagangan Besar Tembakau Rajangan
46205,Perdagangan Besar Binatang Hidup
46206,Perdagangan Besar Hasil Perikanan
46207,Perdagangan Besar Hasil Kehutanan Dan Perburuan
46208,Perdagangan Besar Kulit Dan Kulit Jangat
46209,Perdagangan Besar Hasil Pertanian Dan Hewan Hidup Lainnya
46311,Perdagangan Besar Beras
46312,Perdagangan Besar Buah-buahan
46313,Perdagangan Besar Sayuran
46314,"Perdagangan Besar Kopi, Teh Dan Kakao"
46315,Perdagangan Besar Minyak dan Lemak Nabati
46319,Perdagangan Besar Bahan Makanan Dan Minuman Hasil Pertanian Lainnya
46321,Perdagangan Besar Daging Sapi Dan Daging Sapi Olahan
46322,Perdagangan Besar Daging Ayam Dan Daging Ayam Olahan
46323,Perdagangan Besar Daging Dan Daging Olahan Lainnya
46324,Perdagangan Besar Hasil Olahan Perikanan
46325,Perdagangan Besar Telur Dan Hasil Olahan Telur
46326,Perdagangan Besar Susu Dan Produk Susu
46327,Perdagangan Besar Minyak Dan Lemak Hewani
46329,Perdagangan Besar Bahan Makanan Dan Minuman Hasil Peternakan Dan Perikanan Lainnya
46331,"Perdagangan Besar Gula, Coklat Dan Kembang Gula"
46332,Perdagangan Besar Produk Roti
46333,Perdagangan Besar Minuman Beralkohol
46334,Perdagangan Besar Minuman Non Alkohol Bukan Susu
46335,Perdagangan Besar Rokok Dan Tembakau
46339,Perdagangan Besar Makanan Dan Minuman Lainnya
46411,Perdagangan Besar Tekstil
46412,Perdagangan Besar Pakaian
46413,Perdagangan Besar Alas Kaki
46414,Perdagangan Besar Barang Lainnya Dari Tekstil
46419,"Perdagangan besar tekstil, pakaian dan alas kaki lainnya"
46421,Perdagangan Besar Alat Tulis Dan Gambar
46422,Perdagangan Besar Barang Percetakan Dan Penerbitan Dalam Berbagai Bentuk
46430,Perdagangan Besar Alat Fotografi dan Barang Optik
46441,Perdagangan Besar Obat Farmasi Untuk Manusia
46442,Perdagangan Besar Obat Tradisional Untuk Manusia
46443,Perdagangan Besar Kosmetik Untuk Manusia
46444,Perdagangan Besar Obat Farmasi Untuk Hewan
46445,Perdagangan Besar Obat Tradisional Untuk Hewan
46446,Perdagangan Besar Kosmetik Untuk Hewan
46447,Perdagangan Besar Bahan Farmasi Untuk Manusia Dan Hewan
46448,Perdagangan Besar Bahan Baku Obat Tradisional Untuk Manusia Dan Hewan
46491,Perdagangan Besar Peralatan Dan Perlengkapan Rumah Tangga
46492,Perdagangan Besar Alat Olahraga
46493,Perdagangan Besar Alat Musik
46494,Perdagangan Besar Perhiasan Dan Jam
46495,Perdagangan Besar Alat Permainan Dan Mainan Anak-anak
46499,Perdagangan Besar Berbagai Barang Dan Perlengkapan Rumah Tangga Lainnya Ytdl
46511,Perdagangan Besar Komputer dan Perlengkapan Komputer
46512,Perdagangan Besar Piranti Lunak
46521,Perdagangan Besar Suku Cadang Elektronik
46522,"Perdagangan Besar Disket, Flash Drive, Pita Audio dan Video, CD dan DVD Kosong"
46523,Perdagangan Besar Peralatan Telekomunikasi
46530,"Perdagangan Besar Mesin, Peralatan Dan Perlengkapan Pertanian"
46591,"Perdagangan Besar Mesin Kantor dan Industri Pengolahan, Suku Cadang Dan Perlengkapannya"
46592,"Perdagangan Besar Alat Transportasi Laut, Suku Cadang Dan Perlengkapannya"
46593,"Perdagangan Besar Alat Transportasi Darat (Bukan Mobil, Sepeda Motor, Dan Sejenisnya), Suku Cadang Dan Perlengkapannya"
46594,"Perdagangan Besar Alat Transportasi Udara, Suku Cadang Dan Perlengkapannya"
46599,"Perdagangan Besar Mesin, Peralatan Dan Perlengkapan Lainnya"
46610,"Perdagangan Besar Bahan Bakar Padat, Cair Dan Gas Dan Produk YBDI"
46620,Perdagangan Besar Logam Dan Bijih Logam
46631,Perdagangan Besar Barang Logam Untuk Bahan Konstruksi
46632,Perdagangan Besar Kaca
46633,"Perdagangan Besar Genteng, Batu Bata, Ubin Dan Sejenisnya Dari Tanah Liat, Kapur, Semen Atau Kaca"
46634,"Perdagangan Besar Semen, Kapur, Pasir Dan Batu"
46635,Perdagangan Besar Bahan Konstruksi Dari Porselen
46636,Perdagangan Besar Bahan Konstruksi Dari Kayu
46637,Perdagangan Besar Cat
46638,Perdagangan Besar Berbagai Macam Material Bangunan
46639,Perdagangan Besar Bahan Konstruksi Lainnya
46641,Perdagangan Besar Mineral Bukan Logam
46642,Perdagangan Besar Mineral Radioaktif
46643,Perdagangan Besar Zat Radioaktif Dan Pembangkit Radiasi Pengion
46651,Perdagangan Besar Bahan Dan Barang Kimia
46652,Perdagangan Besar Pupuk Dan Produk Agrokimia
46653,Perdagangan Besar Bahan Berbahaya (B2)
46654,Perdagangan Besar Bahan Berbahaya Dan Beracun (B3)
46691,"Perdagangan Besar Alat Laboratorium, Alat Farmasi Dan Alat Kedokteran Untuk Manusia"
46692,"Perdagangan Besar Alat Laboratorium, Alat Farmasi Dan Alat Kedokteran Untuk Hewan"
46693,Perdagangan Besar Karet Dan Plastik Dalam Bentuk Dasar
46694,Perdagangan Besar Kertas Dan Karton
46695,Perdagangan Besar Barang Dari Kertas Dan Karton
46696,Perdagangan Besar Barang Bekas Dan Sisa-sisa Tak Terpakai (Scrap)
46699,Perdagangan Besar Produk Lainnya YTDL
46900,Perdagangan Besar Berbagai Macam Barang
47111,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Makanan, Minuman Atau Tembakau Di Minimarket/Supermarket/Hypermarket"
47112,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Makanan, Minuman Atau Tembakau Bukan Di Minimarket/Supermarket/Hypermarket (Tradisional)"
47191,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Bukan Makanan, Minuman Atau Tembakau Di Toserba (Department Store)"
47192,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Bukan Makanan, Minuman Atau Tembakau (barang-barang Kelontong) Bukan Di Toserba (Department Store)"
47211,Perdagangan Eceran Padi Dan Palawija
47212,Perdagangan Eceran Buah-buahan
47213,Perdagangan Eceran Sayuran
47214,Perdagangan Eceran Hasil Peternakan
47215,Perdagangan Eceran Hasil Perikanan
47216,Perdagangan Eceran Hasil Kehutanan dan Perburuan
47219,Perdagangan Eceran Hasil Pertanian Lainnya
47221,Perdagangan Eceran Minuman Beralkohol
47222,Perdagangan Eceran Minuman Tidak Beralkohol
47230,Perdagangan Eceran Khusus Rokok dan Tembakau di Toko
47241,Perdagangan Eceran Beras
47242,"Perdagangan Eceran Roti, Kue Kering, serta Kue Basah dan Sejenisnya"
47243,"Perdagangan Eceran Kopi, Gula Pasir dan Gula Merah"
47244,"Perdagangan Eceran Tahu, Tempe, Tauco dan Oncom"
47245,Perdagangan Eceran Daging dan Ikan Olahan
47249,Perdagangan Eceran Makanan Lainnya
