kode_kbli,nama_kbli
47301,"Perdagangan Eceran Bahan Bakar Minyak, Bahan Bakar Gas (BBG), dan Liquefied Petroleum Gas (LPG) di Sarana Pengisian Bahan Bakar Transportasi Darat, Laut, dan Udara"
47302,"Perdagangan Eceran Bahan Bakar Minyak, Bahan Bakar Gas (BBG), dan Liquefied Petroleum Gas (LPG) Selain Di Sarana Pengisian Bahan Bakar Transportasi Darat, Laut, dan Udara"
47303,Perdagangan Eceran Minyak Pelumas Di Toko
47411,Perdagangan Eceran Komputer Dan Perlengkapannya
47412,Perdagangan Eceran Peralatan Video Game Dan Sejenisnya
47413,Perdagangan Eceran Piranti Lunak (Software)
47414,Perdagangan Eceran Alat Telekomunikasi
47415,Perdagangan Eceran Mesin Kantor
47420,Perdagangan Eceran Khusus Peralatan Audio dan Video di Toko
47511,Perdagangan Eceran Tekstil
47512,Perdagangan Eceran Perlengkapan Rumah Tangga Dari Tekstil
47513,Perdagangan Eceran Perlengkapan Jahit Menjahit
47521,Perdagangan Eceran Barang Logam Untuk Bahan Konstruksi
47522,Perdagangan Eceran Kaca
47523,"Perdagangan Eceran Genteng, Batu Bata, Ubin Dan Sejenisnya Dari Tanah Liat, Kapur, Semen Atau Kaca"
47524,"Perdagangan Eceran Semen, Kapur, Pasir Dan Batu"
47525,Perdagangan Eceran Bahan Konstruksi Dari Porselen
47526,Perdagangan Eceran Bahan Konstruksi Dari Kayu
47527,"Perdagangan Eceran Cat, Pernis Dan Lak"
47528,Perdagangan Eceran Berbagai Macam Material Bangunan
47529,Perdagangan Eceran Bahan Dan Barang Konstruksi Lainnya
47530,"Perdagangan Eceran Khusus Karpet, Permadani dan Penutup Dinding dan Lantai di Toko"
47591,Perdagangan Eceran Furnitur
47592,Perdagangan Eceran Peralatan Listrik Rumah Tangga Dan Peralatan Penerangan Dan Perlengkapannya
47593,Perdagangan Eceran Barang Pecah Belah Dan Perlengkapan Dapur Dari Plastik
47594,Perdagangan Eceran Barang Pecah Belah Dan Perlengkapan Dapur Dari Batu Atau Tanah Liat
47595,"Perdagangan Eceran Barang Pecah Belah Dan Perlengkapan Dapur Dari Kayu, Bambu Atau Rotan"
47596,"Perdagangan Eceran Barang Pecah Belah Dan Perlengkapan Dapur Bukan Dari Plastik, Batu, Tanah Liat, Kayu, Bambu Atau Rotan"
47597,Perdagangan Eceran Alat Musik
47599,Perdagangan Eceran Peralatan Dan Perlengkapan Rumah Tangga Lainnya YTDL
47611,Perdagangan Eceran Alat Tulis Menulis Dan Gambar
47612,Perdagangan Eceran Hasil Pencetakan Dan Penerbitan
47620,Perdagangan Eceran Khusus Rekaman Musik dan Video di Toko
47630,Perdagangan Eceran Khusus Peralatan Olahraga di Toko
47640,Perdagangan Eceran Khusus Alat Permainan dan Mainan Anak-anak di Toko
47650,"Perdagangan Eceran Kertas, Kertas Karton Dan Barang Dari Kertas/Karton"
47711,Perdagangan Eceran Pakaian
47712,"Perdagangan Eceran Sepatu, Sandal Dan Alas Kaki Lainnya"
47713,Perdagangan Eceran Pelengkap Pakaian
47714,"Perdagangan Eceran Tas, Dompet, Koper, Ransel Dan Sejenisnya"
47721,Perdagangan Eceran Barang Dan Obat Farmasi Untuk Manusia Di Apotik
47722,Perdagangan Eceran Barang Dan Obat Farmasi Untuk Manusia Bukan Di ApotikÃ‚
47723,Perdagangan Eceran Obat Tradisional Untuk Manusia
47724,Perdagangan Eceran Kosmetik Untuk Manusia
47725,"Perdagangan Eceran Alat Laboratorium, Alat Farmasi Dan Alat Kesehatan Untuk Manusia"
47726,Perdagangan Eceran Barang Dan Obat Farmasi Untuk Hewan Di Apotik Dan Bukan Di Apotik
47727,Perdagangan Eceran Obat Tradisional Untuk Hewan
47728,Perdagangan Eceran Kosmetik Untuk Hewan
47729,"Perdagangan Eceran Khusus Barang Dan Obat Farmasi, Alat Kedokteran, Parfum Dan Kosmetik Lainnya"
47731,Perdagangan Eceran Alat Fotografi Dan Perlengkapannya
47732,Perdagangan Eceran Alat Optik Dan Perlengkapannya
47733,Perdagangan Eceran Kaca Mata
47734,Perdagangan Eceran Jam
47735,Perdagangan Eceran Barang Perhiasan
47736,Perdagangan Eceran Perlengkapan Pengendara Kendaraan Bermotor
47737,Perdagangan Eceran Pembungkus Dari Plastik
47739,Perdagangan eceran khusus barang baru lainnya ytdl
47741,Perdagangan Eceran Barang Bekas Perlengkapan Rumah Tangga
47742,"Perdagangan Eceran Pakaian, Alas Kaki Dan Pelengkap Pakaian Bekas"
47743,Perdagangan Eceran Barang Perlengkapan Pribadi Bekas
47744,Perdagangan Eceran Barang Listrik Dan Elektronik Bekas
47745,Perdagangan Eceran Bahan Konstruksi Dan Sanitasi Bekas
47746,Perdagangan Eceran Barang Antik
47749,Perdagangan Eceran Barang Bekas Lainnya
47751,Perdagangan Eceran Hewan Piaraan (Pet Animals)
47752,Perdagangan Eceran Hewan Ternak
47753,Perdagangan Eceran Ikan Hias
47754,Perdagangan Eceran Pakan Ternak/Unggas/Ikan dan Hewan Piaraan
47761,Perdagangan Eceran Bunga Potong/Florist
47762,Perdagangan Eceran Tanaman Dan Bibit Tanaman
47763,Perdagangan Eceran Pupuk Dan Pemberantas Hama
47764,Perdagangan Eceran Perlengkapan Dan Media Tanaman Hias
47771,Perdagangan Eceran Minyak Tanah
47772,Perdagangan Eceran Gas Elpiji
47773,Perdagangan Eceran Bahan Kimia
47774,Perdagangan Eceran Aromatik/Penyegar (Minyak Atsiri)
47779,"Perdagangan Eceran Bahan Kimia, dan Aromatik/Penyegar (Minyak Atsiri), Dan Bahan Bakar Bukan Bahan Bakar Untuk Kendaraan Bermotor Lainnnya"
47781,"Perdagangan Eceran Barang Kerajinan Dari Kayu, Bambu, Rotan, Pandan, Rumput Dan Sejenisnya"
47782,"Perdagangan Eceran Barang Kerajinan Dari Kulit, Tulang, Tanduk, Gading, Bulu Dan Binatang/Hewan Yang Diawetkan"
47783,Perdagangan Eceran Barang Kerajinan Dari Logam
47784,Perdagangan Eceran Barang Kerajinan Dari Keramik
47785,Perdagangan Eceran Lukisan
47789,Perdagangan Eceran Barang Kerajinan Dan Lukisan Lainnya
47791,Perdagangan Eceran Mesin Pertanian Dan Perlengkapannya
47792,Perdagangan Eceran Mesin Jahit Dan Perlengkapannya
47793,Perdagangan Eceran Mesin Lainnya Dan Perlengkapannya
47794,Perdagangan Eceran Alat Transportasi Darat Tidak Bermotor Dan Perlengkapannya
47795,Perdagangan Eceran Alat Transportasi Air Dan Perlengkapannya
47796,Perdagangan Eceran Alat-alat Pertanian
47797,Perdagangan Eceran Alat-alat Pertukangan
47811,Perdagangan Eceran Kaki Lima Dan Los Pasar Komoditi Padi Dan Palawija
47812,Perdagangan Eceran Kaki Lima Dan Los Pasar Komoditi Buah-buahan
47813,Perdagangan Eceran Kaki Lima Dan Los Pasar Komoditi Sayur-sayuran
47814,Perdagangan Eceran Kaki Lima Dan Los Pasar Komoditi Hasil Peternakan
47815,Perdagangan Eceran Kaki Lima Dan Los Pasar Komoditi Hasil Perikanan
47816,Perdagangan Eceran Kaki Lima Dan Los Pasar Komoditi Hasil Kehutanan Dan Perburuan
47819,Perdagangan Eceran Kaki Lima Dan Los Pasar Komoditi Tanaman Hias Dan Hasil Pertanian Lainnya
47821,Perdagangan Eceran Kaki Lima Dan Los Pasar Beras
47822,"Perdagangan Eceran Kaki Lima Dan Los Pasar Roti, Kue Kering, Kue Basah Dan Sejenisnya"
47823,"Perdagangan Eceran Kaki Lima Dan Los Pasar Kopi, Gula Pasir, Gula Merah Dan Sejenisnya"
47824,"Perdagangan Eceran Kaki Lima Dan Los Pasar Tahu, Tempe, Tauco Dan Oncom"
47825,Perdagangan Eceran Kaki Lima Dan Los Pasar Daging Olahan Dan Ikan Olahan
47826,Perdagangan Eceran Kaki Lima Dan Los Pasar Minuman
47827,Perdagangan Eceran Kaki Lima Dan Los Pasar Rokok Dan Tembakau
47828,"Perdagangan Eceran Kaki Lima Dan Los Pasar Pakan Ternak, Pakan Unggas Dan Pakan Ikan"
47829,Perdagangan Eceran Kaki Lima Dan Los Pasar Komoditi Makanan Dan Minuman Ytdl
47831,Perdagangan Eceran Kaki Lima Dan Los Pasar Tekstil
47832,Perdagangan Eceran Kaki Lima Dan Los Pasar Pakaian
47833,"Perdagangan Eceran Kaki Lima Dan Los Pasar Sepatu, Sandal Dan Alas Kaki Lainnya"
47834,Perdagangan Eceran Kaki Lima Dan Los Pasar Pelengkap Pakaian Dan Benang
47841,Perdagangan Eceran Kaki Lima Dan Los Pasar Bahan Kimia
47842,Perdagangan Eceran Kaki Lima Dan Los Pasar Farmasi
47843,Perdagangan Eceran Kaki Lima Dan Los Pasar Obat Tradisional
47844,Perdagangan Eceran Kaki Lima Dan Los Pasar Kosmetik
47845,Perdagangan Eceran Kaki Lima Dan Los Pasar Pupuk Dan Pemberantas Hama
47846,Perdagangan Eceran Kaki Lima Dan Los Pasar Aromatik/Penyegar (Minyak Atsiri)
47849,"Perdagangan Eceran Kaki Lima Dan Los Pasar Bahan Kimia, Farmasi, Kosmetik Dan Alat Laboratorium dan Ybdi Ytdl"
47851,Perdagangan Eceran Kaki Lima Dan Los Pasar Kaca Mata
47852,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Perhiasan
47853,Perdagangan Eceran Kaki Lima Dan Los Pasar Jam
47854,"Perdagangan Eceran Kaki Lima Dan Los Pasar Tas, Dompet, Koper, Ransel Dan Sejenisnya"
47855,Perdagangan Eceran Kaki Lima Dan Los Pasar Perlengkapan Pengendara Sepeda Motor
47859,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Keperluan Pribadi Lainnya
47861,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Elektronik
47862,Perdagangan Eceran Kaki Lima Dan Los Pasar Alat Dan Perlengkapan Listrik
47863,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Pecah Belah Dan Perlengkapan Dapur Dari Plastik/Melamin
47864,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Pecah Belah Dan Perlengkapan Dapur Dari Batu Atau Tanah Liat
47865,"Perdagangan Eceran Kaki Lima Dan Los Pasar Barang dan Perlengkapan Dapur Dari Kayu, Bambu Atau Rotan"
47866,"Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Pecah Belah Dan Perlengkapan Dapur Bukan Dari Plastik, Batu, Tanah Liat, Kayu, Bambu Atau Rotan"
47867,Perdagangan Eceran Kaki Lima Dan Los Pasar Alat Kebersihan
47869,Perdagangan Eceran Kaki Lima Dan Los Pasar Perlengkapan Rumah Tangga Lainnya
47871,"Perdagangan Eceran Kaki Lima Dan Los Pasar Kertas, Karton Dan Barang Dari Kertas"
47872,Perdagangan Eceran Kaki Lima Dan Los Pasar Alat Tulis Menulis Dan Gambar
47873,Perdagangan Eceran Kaki Lima Dan Los Pasar Hasil Pencetakan dan Penerbitan
47874,Perdagangan Eceran Kaki Lima Dan Los Pasar Alat Olahraga Dan Alat Musik
47875,"Perdagangan Eceran Kaki Lima Dan Los Pasar Alat Fotografi, Alat Optik Dan Perlengkapannya"
47876,Perdagangan Eceran Kaki Lima Dan Los Pasar Mesin Kantor
47877,Perdagangan Eceran Kaki Lima Dan Los Pasar Peralatan Telekomunikasi
47879,"Perdagangan Eceran Kaki Lima Dan Los Pasar Campuran Kertas, Karton, Barang Dari Kertas, Alat Tulis Menulis, Alat Gambar, Hasil Pencetakan, Penerbitan Dan Lainnya"
47881,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Kerajinan
47882,Perdagangan Eceran Kaki Lima Dan Los Pasar Mainan Anak-anak
47883,Perdagangan Eceran Kaki Lima Dan Los Pasar Lukisan
47891,Perdagangan Eceran Kaki Lima Dan Los Pasar Hewan Hidup
47892,"Perdagangan Eceran Kaki Lima Dan Los Pasar Bahan Bakar Minyak, Gas, Minyak Pelumas Dan Bahan Bakar Lainnya"
47893,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Antik
47894,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Bekas Perlengkapan Rumah Tangga
47895,"Perdagangan Eceran Kaki Lima Dan Los Pasar Pakaian, Alas Kaki, Perlengkapan Pakaian Dan Barang Perlengkapan Pribadi Bekas"
47896,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Listrik Dan Elektronik Bekas
47897,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Bekas Campuran
47899,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Lainnya
47911,"Perdagangan Eceran Melalui Media Untuk Komoditi Makanan, Minuman, Tembakau, Kimia, Farmasi, Kosmetik Dan Alat Laboratorium"
47912,"Perdagangan Eceran Melalui Media Untuk Komoditi Tekstil, Pakaian, Alas Kaki Dan Barang Keperluan Pribadi"
47913,Perdagangan Eceran Melalui Media Untuk Barang Perlengkapan Rumah Tangga Dan Perlengkapan Dapur
47914,Perdagangan Eceran Melalui Media Untuk Barang Campuran Sebagaimana Tersebut Dalam 47911 S.D. 47913
47919,Perdagangan Eceran Melalui Media Untuk Berbagai Macam Barang Lainnya
47920,Perdagangan Eceran Atas Dasar Balas Jasa (Fee) Atau Kontrak
47991,Perdagangan Eceran Keliling Komoditi Makanan Dari Hasil Pertanian
47992,"Perdagangan Eceran Keliling Komoditi Makanan, Minuman Atau Tembakau Hasil Industri Pengolahan"
47993,"Perdagangan Eceran Keliling Bahan Kimia, Farmasi, Kosmetik Dan Alat Laboratorium"
47994,"Perdagangan Eceran Keliling Tekstil, Pakaian, Alas Kaki Dan Barang Keperluan Pribadi"
47995,Perdagangan Eceran Keliling Perlengkapan Rumah Tangga Dan Perlengkapan Dapur
47996,Perdagangan Eceran Keliling Bahan Bakar Dan Minyak Pelumas
47997,"Perdagangan Eceran Keliling Kertas, Barang Dari Kertas, Alat Tulis, Barang Cetakan, Alat Olahraga, Alat Musik, Alat Fotografi Dan Komputer"
47998,"Perdagangan Eceran Keliling Barang Kerajinan, Mainan Anak-anak Dan Lukisan"
47999,"Perdagangan eceran bukan di toko, kios, kaki lima dan los pasar lainnya YTDL"""
49110,Angkutan Jalan Rel untuk Penumpang
49120,Angkutan Jalan Rel untuk Barang
49211,Angkutan bus Antarkota Antarprovinsi (AKAP)
49212,Angkutan Bus Perbatasan
49213,Angkutan bus Antarkota Dalam Provinsi (AKDP)
49214,Angkutan Bus Kota
49215,Angkutan Bus Lintas Batas Negara
49216,Angkutan Bus Khusus
49219,Angkutan Bus Dalam Trayek Lainnya
49221,Angkutan Bus Pariwisata
49229,Angkutan Bus Tidak Dalam Trayek Lainnya
49300,Angkutan Melalui Saluran Pipa
49411,"Angkutan Perbatasan Bukan Bus, Dalam Trayek"
49412,"Angkutan Antarkota Dalam Provinsi (AKDP) Bukan Bus, Dalam Trayek"
49413,"Angkutan Perkotaan Bukan Bus, Dalam Trayek"
49414,"Angkutan Perdesaan Bukan Bus, Dalam Trayek"
49415,Angkutan Darat Khusus Bukan Bus
49419,"Angkutan Darat Bukan Bus untuk Penumpang Lainnya, Dalam Trayek"
49421,Angkutan Taksi
49422,Angkutan Sewa
49423,Angkutan Tidak Bermotor untuk Penumpang
49424,Angkutan Ojek Motor
49425,Angkutan Darat Wisata
49426,Angkutan Sewa Khusus
49429,Angkutan Darat Lainnya untuk Penumpang
49431,Angkutan Bermotor untuk Barang Umum
49432,Angkutan Bermotor untuk Barang Khusus
49433,Angkutan Tidak Bermotor untuk Barang Umum
49441,Angkutan Jalan Rel Perkotaan
49442,Angkutan Jalan Rel Wisata
49450,Angkutan Jalan Rel Lainnya
50111,Angkutan Laut Dalam Negeri Liner dan Tramper untuk Penumpang
50112,Angkutan Laut Perairan Pelabuhan Dalam Negeri untuk Penumpang
50113,Angkutan Laut Dalam Negeri untuk Wisata
50114,Angkutan Laut Dalam Negeri Perintis untuk Penumpang
50121,Angkutan Laut Luar Negeri Liner dan Tramper untuk Penumpang
50122,Angkutan Laut Luar Negeri untuk Wisata
50131,Angkutan Laut Dalam Negeri untuk Barang Umum
50132,Angkutan Laut Perairan Pelabuhan Dalam Negeri untuk Barang
50133,Angkutan Laut Dalam Negeri untuk Barang Khusus
50134,Angkutan Laut Dalam Negeri Perintis untuk Barang
50135,Angkutan Laut Dalam Negeri Pelayaran Rakyat
50141,Angkutan Laut Luar Negeri untuk Barang Umum
50142,Angkutan Laut Luar Negeri untuk Barang Khusus
50143,Angkutan Laut Luar Negeri Pelayaran Rakyat
50211,Angkutan Sungai dan Danau Liner (Trayek Tetap dan Teratur) untuk Penumpang
50212,Angkutan Sungai dan Danau Tramper (Trayek Tidak Tetap dan Tidak Teratur) untuk Penumpang
50213,Angkutan Sungai dan Danau untuk Wisata dan YBDI
50214,Angkutan Penyeberangan Antarprovinsi untuk Penumpang
50215,Angkutan Penyeberangan Perintis Antarprovinsi untuk Penumpang
50216,Angkutan Penyeberangan Antarkabupaten/kota untuk Penumpang
50217,Angkutan Penyeberangan Perintis Antarkabupaten/kota untuk Penumpang
50218,Angkutan Penyeberangan Dalam Kabupaten/kota untuk Penumpang
50219,Angkutan Penyeberangan Lainnya untuk Penumpang Termasuk Penyeberangan Antarnegara
50221,Angkutan Sungai dan Danau untuk Barang Umum dan/atau Hewan
50222,Angkutan Sungai dan Danau untuk Barang Khusus
50223,Angkutan Sungai dan Danau untuk Barang Berbahaya
50224,Angkutan Penyeberangan Umum Antarprovinsi untuk Barang
50225,Angkutan Penyeberangan Perintis Antarprovinsi untuk Barang
50226,Angkutan Penyeberangan Umum Antarkabupaten/kota untuk Barang
50227,Angkutan Penyeberangan Perintis Antarkabupaten/kota untuk Barang
50228,Angkutan Penyeberangan Umum Dalam Kabupaten/kota untuk Barang
50229,Angkutan Penyeberangan Lainnya untuk Barang Termasuk Penyeberangan Antarnegara
51101,Angkutan Udara Niaga Berjadwal Dalam Negeri untuk Penumpang atau Penumpang dan Kargo
51102,Angkutan Udara Niaga Tidak Berjadwal Dalam Negeri untuk Penumpang atau Penumpang dan Kargo
51103,Angkutan Udara NIaga Berjadwal Luar Negeri untuk Penumpang atau Penumpang dan Kargo
51104,Angkutan Udara Niaga Tidak Berjadwal Luar Negeri untuk Penumpang atau Penumpang dan Kargo
51105,Angkutan Udara Niaga Tidak Berjadwal Lainnya
51106,Angkutan Udara untuk Olahraga
51107,Angkutan Udara untuk Wisata
51108,Angkutan Udara Bukan Niaga
51109,Angkutan Udara untuk Penumpang Lainnya
51201,Angkutan Udara Niaga Berjadwal Dalam Negeri untuk Kargo
51202,Angkutan Udara Niaga Tidak Berjadwal dalam Negeri untuk Kargo
51203,Angkutan Udara Niaga Berjadwal Luar Negeri untuk Kargo
51204,Angkutan Udara Niaga Tidak Berjadwal Luar Negeri untuk Kargo
52101,Pergudangan dan Penyimpanan
52102,Aktivitas Cold Storage
52103,Aktivitas Bounded Warehousing atau Wilayah Kawasan Berikat
52104,Penyimpanan Minyak dan Gas Bumi
52105,Aktivitas Penyimpanan B3
52106,Fasilitas Penyimpanan Sumber Radiasi Pengion
52107,Penyimpanan yang Termasuk Dalam Naturally Occuring Radioactive Material (NORM)
52108,Pengelola Gudang Sistem Resi Gudang
52109,Pergudangan dan Penyimpanan Lainnya
52211,Aktivitas Terminal Darat
52212,Aktivitas Stasiun Kereta Api
52213,Aktivitas Jalan Tol
52214,Aktivitas Perparkiran di Badan Jalan (On Street Parking)
52215,Aktivitas Perparkiran di Luar Badan Jalan (Off Street Parking)
52219,Aktivitas Penunjang Angkutan Darat Lainnya
52221,Aktivitas Pelayanan Kepelabuhanan Laut
52222,Aktivitas Pelayanan Kepelabuhanan Sungai dan Danau
52223,Aktivitas Pelayanan Kepelabuhanan Penyeberangan
52224,Aktivitas Pelabuhan Perikanan
52225,Aktivitas Pengelolaan Kapal
52229,Aktivitas Penunjang Angkutan Perairan Lainnya
52231,Aktivitas Kebandarudaraan
52232,Jasa Pelayanan Navigasi Penerbangan
52240,Penanganan Kargo (Bongkar Muat Barang)
52291,Jasa Pengurusan Transportasi (JPT)
52292,Aktivitas Ekspedisi Muatan Kereta Api dan Ekspedisi Angkutan Darat (EMKA & EAD)
52293,Aktivitas Ekspedisi Muatan Kapal (EMKL)
52294,Aktivitas Ekspedisi Muatan Pesawat Udara (EMPU)
52295,Angkutan Multimoda
52296,Jasa Penunjang Angkutan Udara
52297,Jasa Keagenan Kapal/Agen Perkapalan Perusahaan Pelayaran
52298,Aktivitas Tally Mandiri
52299,Aktivitas Penunjang Angkutan Lainnya YTDL
53100,Aktivitas Pos
53201,Aktivitas Kurir
53202,Aktivitas Agen Kurir
55110,Hotel Bintang
55120,Hotel Melati
55130,Pondok Wisata
55191,Penginapan Remaja (Youth Hostel)
55192,"Bumi Perkemahan, Persinggahan Karavan dan Taman Karavan"
55193,Vila
55194,Apartemen Hotel
55199,Penyediaan Akomodasi Jangka Pendek Lainnya
55900,Penyediaan Akomodasi Lainnya
56101,Restoran
56102,Rumah/Warung Makan
56103,Kedai Makanan
56104,Penyediaan Makanan Keliling/Tempat Tidak Tetap
56109,Restoran dan penyediaan makanan keliling lainnya
56210,Jasa Boga Untuk Suatu Event Tertentu (Event Catering)
56290,Penyediaan Jasa Boga Periode Tertentu
56301,Bar
56302,Kelab Malam Atau Diskotek Yang Utamanya Menyediakan Minuman
56303,Rumah Minum/Kafe
56304,Kedai Minuman
56305,Rumah/Kedai Obat Tradisional
56306,Penyediaan Minuman Keliling/Tempat Tidak Tetap
58110,Penerbitan Buku
58120,Penerbitan Direktori dan Mailing List
58130,"Penerbitan Surat Kabar, Jurnal Dan Buletin Atau Majalah"
58190,Aktivitas Penerbitan lainnya
58200,Penerbitan piranti lunak (Software)
59111,"Aktivitas Produksi Film, Video dan Program Televisi Oleh Pemerintah"
59112,"Aktivitas Produksi Film, Video dan Program Televisi Oleh Swasta"
59121,"Aktivitas Pascaproduksi Film, Video dan Program Televisi Oleh Pemerintah"
59122,"Aktivitas Pascaproduksi Film, Video dan Program Televisi Oleh Swasta"
59131,"Aktivitas Distribusi Film, Video dan Program televisi Oleh Pemerintah"
59132,"Aktivitas Distribusi Film, Video dan Program Televisi Oleh Swasta"
59140,Aktivitas Pemutaran Film
59201,Aktivitas Perekaman Suara
59202,Aktivitas Penerbitan Musik Dan Buku Musik
60101,Penyiaran Radio Oleh Pemerintah
60102,Penyiaran Radio Oleh Swasta
60201,Aktivitas Penyiaran dan Pemrograman Televisi Oleh Pemerintah
60202,Aktivitas Penyiaran dan Pemrograman Televisi Oleh Swasta
61100,Aktivitas Telekomunikasi Dengan Kabel
61200,Aktivitas Telekomunikasi Tanpa Kabel
61300,Aktivitas Telekomunikasi Satelit
61911,Jasa Panggilan Premium (Premium Call)
61912,Jasa Konten SMS Premium
61913,Jasa Internet Teleponi Untuk Keperluan Publik (ITKP)
61914,Jasa Panggilan Terkelola (Calling Card)
61919,Jasa Nilai Tambah Teleponi Lainnya
61921,Internet Service Provider
61922,Jasa Sistem Komunikasi Data
61923,Jasa Televisi Protokol Internet (IPTV)
61924,Jasa Interkoneksi Internet (NAP)
61929,Jasa Multimedia Lainnya
61991,Aktivitas Telekomunikasi Khusus Untuk Penyiaran
61992,Aktivitas Telekomunikasi Khusus Untuk Keperluan Sendiri
61993,Aktivitas Telekomunikasi Khusus Untuk Keperluan Pertahanan Keamanan
61994,Jasa Jual Kembali Jasa Telekomunikasi
61999,Aktivitas Telekomunikasi Lainnya YTDL
62011,Aktivitas Pengembangan Video game
62012,Aktivitas Pengembangan Aplikasi Perdagangan Melalui Internet (E-Commerce)
62013,Aktivitas Pemrograman dan Produksi Konten Media Imersif
62014,Aktivitas Pengembangan Teknologi Blockchain
62015,Aktivitas Pemrograman Berbasis Kecerdasan Artifisial
62019,Aktivitas Pemrograman Komputer Lainnya
62021,Aktivitas Konsultasi Keamanan Informasi
62022,Aktivitas Penyediaan Identitas Digital
62023,Aktivitas Penyediaan Sertifikat Elektronik dan Layanan yang Menggunakan Sertifikat Elektronik
62024,Aktivitas Konsultasi dan Perancangan Internet of Things (IoT)
62029,Aktivitas Konsultasi Komputer dan Manajemen Fasilitas Komputer Lainnya
62090,Aktivitas Teknologi Informasi Dan Jasa Komputer Lainnya
63111,Aktivitas Pengolahan Data
63112,Aktivitas Hosting dan Ybdi
63121,Portal Web Dan/Atau Platform Digital Tanpa Tujuan Komersial
63122,Portal Web Dan/Atau Platform Digital Dengan Tujuan Komersial
63911,Aktivitas Kantor Berita Oleh Pemerintah
63912,Aktivitas Kantor Berita Oleh Swasta
63990,Aktivitas Jasa Informasi Lainnya YTDL
64110,Bank Sentral
64121,Bank Umum Konvensional
64122,Bank Umum Syariah
64123,Unit Usaha Syariah Bank Umum
64131,Bank Perkreditan Rakyat
64132,Bank Pembiayaan Rakyat Syariah
64141,Koperasi Simpan Pinjam Primer (KSP Primer)
64142,Unit Simpan Pinjam Koperasi Primer (USP Koperasi Primer)
64143,Koperasi Simpan Pinjam Sekunder (KSP Sekunder)
64144,Unit Simpan Pinjam Koperasi Sekunder (USP Koperasi Sekunder)
64145,Koperasi Simpan Pinjam dan Pembiayaan Syariah Primer (KSPPS Primer)
64146,Unit Simpan Pinjam dan Pembiayaan Syariah Koperasi Primer (USPPS Koperasi Primer)
64147,Koperasi Simpan Pinjam dan Pembiayaan Syariah Sekunder (KSPPS Sekunder)
64148,Unit Simpan Pinjam dan Pembiayaan Syariah Koperasi Sekunder (USPPS Koperasi Sekunder)
64151,Lembaga Keuangan Mikro Konvensional
64152,Lembaga Keuangan Mikro Syariah
64190,Perantara moneter lainnya
64200,Aktivitas Perusahaan Holding
64300,"Trust, Pendanaan dan Entitas Keuangan Sejenis"
64400,Otoritas Jasa Keuangan (OJK)
64500,Lembaga Penjamin Simpanan (LPS)
64911,Perusahaan Pembiayaan Konvensional
64912,Perusahaan Pembiayaan Syariah
64913,Unit Usaha Syariah Perusahaan Pembiayaan
64921,Pergadaian Konvensional
64922,Pergadaian Syariah
64923,Unit Usaha Syariah Pergadaian
64931,Perusahaan Modal Ventura Konvensional
64932,Perusahaan Modal Ventura Syariah
64933,Unit Usaha Syariah Modal Ventura
64941,Perusahaan Pembiayaan Infrastruktur Konvensional
64942,Perusahaan Pembiayaan Infrastruktur Syariah
